title,abstract,summary,rouge-1 score
Identification of Flexible Space Structure Models Using Operating Data,"IDENTIFICATION OF FLEXIBLE SPACE STRUCTURE MODELS USING OPERATING DATA Albert Bosse, Doctoral Research Assistant Gary Slater, Professor Department of Aerospace Engineering and Engineering Mechanics University of Cincinnati Cincinnati, OH 45221.0070 USA A procedure called Reference Model Adaptation (RMA) is presented whose primary objective is the estimation of impulse response functions of a multivariable flexible structure under closed loop control. The RMA scheme, which operates on input and output time histories, is envisioned to track slowly time-varying system characteristics which m&y be present in flexible spacecraft systems due to anomalies, maintenance, or evolving substructures. Primary considerations are the minimization of disturbances required by the identification process in extracting system models from the operating data, and the provision of updated models for the redesign or reconfiguration of active vibration controllers. Early development efforts have focused on the problem of closed loop identification of system impulse response functions, results from which are given in this paper. With impulse response functions in hand, active controls can then he designed directly, or a state-space model can be generated from which active controls may he designed. Experimental results are presented for a five meter space truss instrumented with proof-mass actuators and accelerometers located in the University of Cincinnati Structural Dynamics Research Laboratory. Nomenclature total system input noise process state vector output vector input vector, control signal discrete system matrix (state-space model) input influence matrix output influence matrix direct transmission matrix number of states, observer order number of IRF’s to estimate number of inputs number of outputs time step index IRF matrix at time step i B] matrix partitions observer state vector observer output estimate observer system matrix observer input influence matrix observer system input vector zero matrix vector of assigned observer eigenvalues kth element of X observer identification data matrix",observer system matrix observer input influence matrix observer system,"[0.0, 0.0, 0.0]"
"The Early Universe Odyssey with Gravitational Waves * Typeset Using Revt E X * Invited Talk given at 25th Johns Hopkins Workshop "" a Relativistic Spacetime Odyssey "" , Florence (italy), September 2001","This contribution summarizes some recent work on gravitational-wave astronomy and, especially, on the generation and detection of relic gravitational waves. We begin with a brief discussion of astrophysical sources of gravitational waves that are likely to be detected first by the coming in operation laser interferometers, such as GEO, LIGO, VIRGO. Then, we proceed to relic gravitational waves emphasizing their quantum-mechanical origin and the inevitability of their existence. Combining the theory with available observations, we discuss the prospects of direct detection of relic gravitational waves. A considerable part of the paper is devoted to comparison of relic gravitational waves with the density perturbations of quantum-mechanical origin. It is shown how the phenomenon of squeezing of quantum-mechanically generated cosmological perturbations manifests itself in the periodic structures of the metric power spectra and in the oscillatory behaviour of the CMBR multipoles Cl as a function of l. The cosmological importance of the theoretically calculated (statistical) dipole moment C1 is stressed. The paper contains also some comments on the damage to gravitational-wave research inflicted by the “standard inflationary result”. We conclude with the (now common) remarks on the great scientific importance of the continuing effort to observe relic gravitational waves, directly or indirectly. Typeset using REVTEX Invited talk given at 25th Johns Hopkins Workshop “A relativistic spacetime Odyssey”, Florence (Italy), September 2001 Electronic address: grishchuk@astro.cf.ac.uk",of squeezing of quantum-mechanically generated cosmological perturbations manifests the phenomenon of squeezing of quantum-mechanically generated cosmological perturbations in the periodic structures of the metric power spectra and in the oscillatory behaviour of the,"[0.02857142857142857, 0.03571428571428571, 0.031746031746031744]"
Towards time-parallel road traffic simulation,"As an alternative to spatial parallelization of simulation models, time-parallel simulation offers the potential for massive parallelism with a high level of independence between the parallel processes. Unfortunately, due to inherent problems, the applicability of time-parallel simulation is restricted. Therefore, it has been proposed recently, to use approximation with time-parallel simulation in order to facilitate its application and to extend the class of models suitable for time-parallel simulation. As a proof-of-concept, this work shows how approximate temporal parallelization can be applied to the simulation of road traffic. Traffic simulation is used extensively in transportation research for various purposes, e.g. analysis of traffic phenomena,traffic forecast, and optimization of traffic flow. Depending on the level of fidelity, a traffic model exhibits a state space of moderate to high complexity. This paper is intended to discuss the basic properties of time-parallel traffic simulation and to examine its feasibility. Experiments with a sequential microscopic traffic simulator, that emulates important aspects of a corresponding time-parallel simulator, suggest this feasibility.",traffic simulation and to examine,"[0.4, 0.3333333333333333, 0.3636363636363636]"
John's gospel and the Johannine church: A mirror of events wifhin a text or/and a window on events within a church,"John's gospel and the Johannine church: A mirror of events within a text or/and a window on events within a church. This paper investigates the problem of an alleged Johannine church/ school. The hermeneutical paradigms and results of two mainline exegetical methods are assessed, namely the historico-critical method and literary criticism (a textimmanent procedure). Their respective approa­ ches of using the text of John's Gospel (JG) as a window and as a mirror are correlated. An analysis of the narrator's commentary (footnotes, asides) furnished important conclusions. They are that a referential correlation exists between the worlds within and outside the text. The direction of reference runs from the textextemal to the textintemal worlds, furthermore, the pragmatics of JG as a religio-historical text justifies the assumption that the readers/church within and outside the text are to be identified as ambivalent entities consisting of both Jewish and Hellenistic elements. 1. JOH N 'S GOSPEL AT THE FOCAL POINT OF REFLECTION ON METHODOLOGY A survey of paradigms for understanding, exposition and interpreta­ tion of the New Testament and John's gospel (hereafter abbreviated as 'JG') is not necessary in discussions with well-informed readers. In academic circles one assumes that there is competency regarding the history and development of exegetical methods and their application to texts. One must emphasise, however, that the present situation of techno­ cracy, cosmic threats, socio-political problems and focus on events and * An abridged and revised edition of inaugural lecture as professor in New Testament studies at the Faculty of Theology of the University of South Africa on 30 Sept 1986. ISSN 0259-9422 = HTS 43/3 (1987) 395 function of communication, has promoted functional, apocalyptic, sociological anci textpragmatic approaches respectively. When it comes to an assessment of the legitimacy of methods and their application, JG in particular stands at the focal point. Major contributions to reflection on methodology and reports on research have been made by R Kysar (1975), H Thyen (1979), T Onuki (1982), J D G Dunn (1983), J Becker (1982 and 1986) and F P Neirynck & F van Segbroeck (1984). Important tendencies in research, indicated by these scholars are as",the pragmatics of John's gospel as a religio-historical text justifies the assumption that the readers/church within and outside the text of,"[0.4166666666666667, 0.43478260869565216, 0.425531914893617]"
PAPR Analysis of FFT and Wavelet based OFDM Systems,"OFDM is an efficient modulation technique for wideband digital communication. A major drawback of OFDM modulation is the high Peak-to-Average Power Ratio (PAPR) of the transmitted signal which limits its transmission range of communication. As PAPR increases it reduces the average power which affect on total power consumption of Transmitter. Normally, OFDM is implemented using FFT. In recent years it is it is observed that, OFDM can be implemented using orthogonal wavelets. All the benefits of FFT-OFDM can be achieved, if we replace traditional sinusoid carriers with suitable wavelets. SLM & PTS techniques for PAPR reduction are applied on the FFT & Wavelet based OFDM.",drawback of OFDM modulation is the high Peak-to-Average Power,"[0.18181818181818182, 0.2222222222222222, 0.19999999999999998]"
Generalized Neutrosophic Soft Expert Set for Multiple-Criteria Decision-Making,"Smarandache defined a neutrosophic set to handle problems involving incompleteness, indeterminacy, and awareness of inconsistency knowledge, and have further developed it neutrosophic soft expert sets. In this paper, this concept is further expanded to generalized neutrosophic soft expert set (GNSES). We then define its basic operations of complement, union, intersection, AND, OR, and study some related properties, with supporting proofs. Subsequently, we define a GNSES-aggregation operator to construct an algorithm for a GNSES decision-making method, which allows for a more efficient decision process. Finally, we apply the algorithm to a decision-making problem, to illustrate the effectiveness and practicality of the proposed concept. A comparative analysis with existing methods is done and the result affirms the flexibility and precision of our proposed method.",further expanded to generalized neutrosophic soft expert set,"[0.625, 0.5, 0.5555555555555556]"
EVALUATIONS OF THE PRECISION OF AUSGeoid 98 VERSUS AUSGeoid 93 USING GPS AND AUSTRALIAN HEIGHT DATUM DATA,"Map-based, graphical and statistical evaluations of the AUSGeoid93 and AUSGeoid98 geoid models of Australia are made using a nation-wide set of 1013 GPS-AHD control points. It is shown that AUSGeoid98 is the superior model for the transformation of GPS-derived ellipsoidal heights to the Australian Height Datum (AHD), especially in mountainous and coastal regions. These results illustrate the benefits of using additional topographic height and satellite altimeterderived gravity data in computing AUSGeoid98, since these data were not used in the computation of AUSGeoid93.","Map-based, graphical and statistical evaluations of the AUSGeoid93 and AUSGeoid98 geoid models of Australia are made using","[0.3333333333333333, 0.35294117647058826, 0.34285714285714286]"
An Inverse Eigenvalue Problem for General Tridiagonal Matrices,"The following inverse eigenvalue problem is considered: Given the minimal and maximal eigenvalues of all the leading submatrices of a tridiagonal matrix, we construct the matrix,and give the conditions that are necessary and sufficient for the existence of such a solution. Mathematics Subject Classification: 65D32; 65Q05; 39A05; 65F15",the minimal and maximal eigenvalues of all the,"[0.125, 0.125, 0.125]"
A Markov random field model for mode detection in cluster analysis,"A statistical clustering approach is proposed, based on Markov random field models. A discrete field derived from the raw data set is considered as a field of measures. A hidden field, computed using a new potential function, is used to detect the modes that correspond to domains of high local concentrations of observations. Results obtained on artificially generated and real data sets demonstrate the efficiency of this new approach for unsupervised pattern classification. 2008 Elsevier B.V. All rights reserved.",discrete field derived from the raw data set is considered as,"[0.09090909090909091, 0.09090909090909091, 0.09090909090909091]"
The Italian Left Periphery: A View from Locality,"In this article, I discuss the interaction of locality phenomena with the left periphery in Italian as elaborated in Rizzi 1997, 2001a, 2004b. It turns out that long-distance crossing possibilities fully predict the local orderings entailed by Rizzi’s left-peripheral template. In fact, both descriptive gains (in terms of topic positions) and explanatory gains (regarding the position and behavior of topics and of Rizzi’s (2001a) Int) can be made if local ordering is reduced to locality. This suggests that the left-peripheral template should be derived from some appropriate theory of locality and should not be taken as a theoretical primitive.",left periphery in Italian as elaborated in Rizzi,"[0.375, 0.375, 0.375]"
Fibromyalgia: A visit to the interdisciplinary pain clinic,"Our case is a 48 year old female, Judy, divorced mother of two, who works for a local nursery as an account receivable administrator. She has had TMJ and migratory pains in multiple joints for two years and has had four different providers. Her latest provider has diagnosed her as having fibromyalgia and despite multiple medication regimens, her pain is still 4-6 on a 10 point scale most of the time making it difficult to perform her daily work duties. Her current medications are Fluoxitine 40 mg AM daily, Amitryptiline 20 mg at night, cyclobenzapine 10 mg twice daily, Tramadol 75 mg QID, Zolipdem 5 mg at bedtime for sleep, Calcium carbonate 1500 mg daily. Her provider is frustrated and so is she. The provider notes that the patient is adjusting medications on her own and is not engaged in her treatment plan. She comes to the clinic today for her first visit.",Her latest provider is frustrated and so is,"[0.0, 0.0, 0.0]"
Wage and Productivity Dispersion : Labor Quality or Rent Sharing ? ∗,"Wage and labor productivity differ across firms, and more productive firms tend to pay higher wages. We consider a model that allows for differences in capital, employment and labor quality as well as rent sharing, all of which should help explain these observations. We estimate the model using detailed matched employer-employee data from the manufacturing sector in Denmark. The production function estimation is embedded in a structural equation system involving worker, firm, time, and occupation effects from an individual wage decomposition and accounting for labor input components that are substitutes and complements, while accommodating stochastically varying factor productivity. We find that both input heterogeneity and intrinsic differences in total factor productivity across firms are important explanations. In the case of Manufacturing, about 41% of the dispersion in log value added per worker is attributable to cross-firm differences in the levels of capital per worker, while another 39% of the variation stems from intrinsic TFP differences. Only 5% is associated with quality differences in the labor input. In the case of individual log wages, 70% of the variation is due to individual characteristics, whereas only 13% is attributable to firm differences. Our results suggest that there are major gains to reallocation of labor from less to more productive firms. Rent sharing enhances the reallocation process by inducing wage dispersion that motivates worker search. The relatively small contribution of firm heterogeneity to individual wage dispersion is thus consistent with the inefficient allocation of labor across firms.",input heterogeneity and intrinsic differences in total factor productivity across firms are,"[0.16666666666666666, 0.2222222222222222, 0.1904761904761905]"
Some Remarks on Indices of Holomorphic Vector Fields,"One can associate several residue-type indices to a singular point of a two-dimensional holomorphic vector field. Some of these indices depend also on the choice of a separatrix at the singular point. We establish some relations between them, especially when the singular point is a generalized curve and the separatrix is the maximal one. These local results have global consequences, for example concerning the construction of logarithmic forms defining a given holomorphic foliation.",singular point of a two-dimensional holomorphic vector field,"[0.4444444444444444, 0.5, 0.47058823529411764]"
Performance analysis of preemption-aware scheduling in multi-cluster grid environments,"Resource provisioning is one of the main challenges in resource sharing environments such as multi-cluster Grids. In these environments each cluster serves requests from external (grid) users along with their own local users. The problem arises when there is not sufficient resources for local users (which have higher priority than grid users) to be served urgently. This problem could be solved by preempting resources from grid users and allocating them to the local users. However, resource preemption entails crucial side-effects such as decreasing resource utilization and increasing grid users’ response time. Considering preemption side-effects, the question is that how we can minimize the number of preemptions taking place in a resource sharing environment. In this paper, we propose a preemption-aware scheduling policy for a virtualized multi-cluster Grid in a way that the number of preemptions is minimized. The proposed policy is based on the stochastic analysis of routing in parallel non-observable queues which acts independent from the availability information of each cluster. Simulation results indicate that the proposed scheduling policy significantly decreases the number of virtual machine (VM) preemptions (up to 22.5%) which affects both resource utilization and average response time of grid requests.",from grid users and allocating resources to local users,"[0.1111111111111111, 0.09090909090909091, 0.09999999999999999]"
The subspace approach as a first stage in speech enhancement,"To increase the performance of the communication systems and other applications related to speech or speaker recognition, it is usual to incorporate a preprocessing stage for speech enhancement before it enters a specific system. Although the signal subspace approach is very useful, it becomes less effective when the signal to noise ratio is lower than 10 dB. This is due to possible inaccuracies in estimating the noise, whose action on the different phonemes and frequency bands is far from uniform, even considering white noise. A critical point is estimating the signal subspace dimension. It not only depends on the variance the noise level but also on SNR, too, which varies according to the different temporal segments of speech as well as the frequency band. Then it is proposed to work on temporal frames in each critical band using as the reference the noise variance affected by a factor which depends on the particular SNR segment being considered to estimate the signal dimension Thus weak signal components are preserved which could be eliminated otherwise. The noisy signal projection on the signal subspace can be regarded as a first stage in the speech enhancement process that has to be complement with additional techniques.","the signal subspace approach is very useful, the signal subspace","[0.3, 0.3, 0.3]"
Inferring the Scope of Speculation using Dependency Analysis,"In the last few years speculation detection systems for biomedical texts have been developed successfully, most of them using machine–learning approaches. In this paper we present a system that finds the scope of speculation in English sentences, by means of dependency syntactic analysis. It infers which words are affected by speculation by browsing dependency syntactic structures. Thus, firstly an algorithm detects hedge cuesa. Secondly the scope of these hedge cues is computed. We tested the system with the Bioscope corpus, annotated with speculation and obtaining competitive results compared with the state of the art systems. aThe cue is defined as the lexical marker that expresses speculation, like might or may.",are affected by speculation by browsing dependency syntactic,"[0.25, 0.25, 0.25]"
Release Behaviour of Cryptomeria Japonica Pollen Allergenic Cry J 1 and Cry J 2 in Rainwater Containing Air Pollutants,"Japanese cedar (Cryptomeria japonica) pollinosis is the most popular pollinosis in Japan. In recent years, it was reported that the most Cryptomeria japonica pollen allergenic species were scattered as fi ne particles in the urban atmosphere. It is thought that allergenic fi ne particles are responsible for inducing asthma by breaking into lower respiratory tract; this phenomenon was observed in fi eld investigations during sunny days after rainfall. Hence, it is considered that the release of fi ne allergenic species derived from pollen grains may be induced during rainfall events. For this reason, we investigated the releasing behaviour of Cryptomeria japonica pollen allergenic species in rainwater containing air pollutants, through rainwater sampling and laboratory experiments. The pollen grain counts, pollen burst ratios, ionic concentrations and pH in each rainwater sample were measured, when rainwater samples were separately collected in Saitama City, a suburban area north of Tokyo metropolis. Additionally, three simulated rainwater (SR) samples were prepared to investigate the releasing behaviour of pollen allergenic species. In the samplings, the most pollen grains were trapped into initial rainwater (IR). Moreover, burst pollen grains were observed in many rainwater samples. Burst ratio of pollen grains were positively correlated with pH and ionic concentrations in rainwater. Therefore, it was thought that pollen grains were washed out by IR containing air pollutants. On the other hand, for the laboratory experiments, the elution of allergenic Cry j 1 and Cry j 2 was observed when pollen grains were exposed to different SR samples. A time-dependent increase of Cry j 1 was observed, but the elution of Cry j 2 was not observed from pollen grains exposed to SR samples. In particular, the elution of Cry j 1 increased by contact with SR samples under conditions of Asian dust events. The results demonstrated that the burst of pollen grains is associated with the production of fi ne particles containing pollen allergenic species, and that the release of allergenic species was induced by rainwater containing air pollutants.",demonstrated that the burst of pollen grains is associated with the production of fi ne particles containing pollen allergenic,"[0.21052631578947367, 0.21052631578947367, 0.21052631578947367]"
Systematic characterization of small inductively coupled radiofrequency coils as MR-visible markers at 1 . 5 T,"Introduction: MR-guided interventions may benefit from a proper visualization or localization of the deployed instruments. MR-visible markers are usually categorized with respect to their design and method of detection: (1) active markers are signal receivers wired to the scanner, (2) passive ones have no electric components and operate via a positive (paramagnetic agent) or negative (susceptibility) contrast, and (3) semi-active or inductively coupled markers have no connection but involve conducting wires [1]. The goal of this work was to systematically characterize the small inductively coupled solenoid coils and evaluate their suitability as MR-visible markers for interventional applications at 1.5T.  Methods and Materials: The small markers (Fig. 1) consisted of a solenoid coil (inductance 0.06 μH) with four turns of an insulated copper wire around a water-filled glass tube (inner/outer Ø=2.2/4.0 mm). An MR-compatible capacitor (ATC, NY) was used to tune the circuit to the resonance frequency (≈63.7 MHz) of a 1.5T MRI (Siemens, Germany). The quality factor of the loaded circuit was determined to be ≈110. All measurements were made with the integrated body coil using a plastic bottle filled with NiSO4 solution as background phantom. Marker imaging was performed with a balanced SSFP sequence (TrueFISP, matrix size=512, FOV/slice thickness=300 mm, TR/TE=6.8/2.8 ms, bandwidth=220 Hz/pixel) in the three standard projections using flip angles (FA) in the 0.1°–90.0° range. The contrastto-noise ratio was calculated as CNR=(SM–SB)/SB, with SM as maximum marker and SB as background signal averaged over a fixed ROI. Fig. 1: Resonant RF coil as MR marker. The spatial dependence of the TrueFISP marker signals (FA=0.3°) was investigated by translating the markers along the x and z axes in the ±240 mm range around the isocenter. The marker was also placed on a custom-made rotary mount (positioned horizontally) to measure the angular dependence of the TrueFISP marker signal (FA=0.3°) as a function of tilt angle θTRA (between solenoid axis and transverse plane). An existing localization algorithm was used at this stage to evaluate the suitability for an automatic detection algorithm [2]. Inductive heating of the marker coils during RF exposition was measured to assess potential safety hazards. The temperatures were monitored with a 4-channel fiber optical thermometer (Fluoroptic 700, Luxtron, CA) with one probe taped on the coil wire and another placed inside the glass tube near the geometrical center of the solenoid. Four different sequences were investigated over a time span of 21 min (1 min baseline, 10 min exposition, 10 min cool down): HASTE (TR/TE=1090/121 ms, FA=150°, SAR=1.93 W/kg), VIBE (TR/TE=3.8/1.4 ms, FA=15°, SAR=0.49 W/kg), TrueFISP with a standard (TR/TE=4.3/2.2 ms, FA=72°, SAR=1.95 W/kg) and with a low flip angle (TR/TE=9.7/4.2 ms, FA=2°, SAR<0.001 W/kg). Measurements were performed at an ambient temperature of ≈24°C with the MRI ventilator switched off. Results: The markers typically imposed as round (Ø=2.2±0.1 mm, n=10) or oval (2.0±0.1 mm × 3.1±0.4 mm wide) clearly visible, hyperintense objects (Fig. 2). The highest CNR (≈130) on a coronal image was obtained at a flip angle of 0.3° (Fig. 3). During translation along the x and z axes, all marker CNRs were larger than 16 while values around the isocenter were much larger (Fig. 4). For tilt angles θTRA from 0° to 55° all markers were successfully detected in all views with CNR values above 7.5 (Fig. 5). Under RF exposition, heating inside the tube was slightly larger than directly on the outside of the copper wire. The maximum temperature increase ΔTmax was ≈5.0°C after HASTE and standard TrueFISP exposition and ≈1.3°C applying a VIBE sequence. The marker sequence (low-FA TrueFISP) caused no measurable temperature change (Fig. 6). About 10 min after RF exposition, the temperatures had dropped to the starting values (HASTE and VIBE) or showed only a minor difference of 0.5°C (standard TrueFISP). The numerical values for the ΔTmax/SAR ratios were 2.6 (HASTE), 2.7 (VIBE), and 2.6 (standard TrueFISP) in SI units [K·kg/W].",The spatial dependence of the TrueFISP marker signals (FA=0.3°) was investigated by translating the TrueFISP marker,"[0.1111111111111111, 0.125, 0.11764705882352941]"
"A Prognostic and Warning System for Power Electronic Modules in Electric, Hybrid, and Fuel Cell Vehicles","Reliability of power electronics modules is of paramount importance for the commercial success of various types of electric vehicles. In this paper, we study the technical feasibility of detecting early symptoms and warning signs of power module degradation due to thermomechanical stress and fatigue, and developing a prognostic system that monitors the state of health of the power modules in electric, hybrid, and fuel cell vehicles. A signature degradation trace of the on-voltage of IGBT modules was observed from accelerated power cycling test. This on-voltage ""anomaly"" can be attributed to sequential events of solder joint degradation followed by wirebond lift-off mechanisms. A quasi real-time IGBT failure prognostic algorithm based on monitoring the abnormal VCEsat variation at specific currents and temperatures is developed. The algorithm was verified using extensive SIMULINK modeling. The prognostic system can be implemented cost-effectively in existing vehicle hardware/software architectures",of power electronics modules is of paramount importance for the commercial success of various types of,"[0.25, 0.25, 0.25]"
AR-Weapon: Live Augmented Reality Based First-Person Shooting System,"This paper introduces a user-worn Augmented Reality (AR) based first-person weapon shooting system (AR-Weapon), suitable for both training and gaming. Different from existing AR-based first-person shooting systems, AR-Weapon does not use fiducial markers placed in the scene for tracking. Instead it uses natural scene features observed by the tracking camera from the live view of the world. The AR-Weapon system estimates 6-degrees of freedom orientation and location of the weapon and of the user operating it, thus allowing the weapon to fire simulated projectiles for both direct fire and non-line of sight during live runs. In addition, stereo cameras are used to compute depth and provide dynamic occlusion reasoning. Using the 6-DOF head and weapon tracking, dynamic occlusion reasoning and a terrain model of the environment, the fully virtual projectiles and synthetic avatars are displayed on the user's head mounted Optical-See-Through (OST) display overlaid over the live view of the real world. Since the projectiles, weapon characteristics and virtual enemy combatants are all simulated they can easily be changed to vary scenarios, new projectile types and future weapons. In this paper, we present the technical algorithms, system design and experiment results for a prototype AR-Weapon system.",the weapon and of the user operating the,"[0.125, 0.1, 0.11111111111111112]"
Image indexing using a colored pattern appearance model,"We introduce a new method for colour image indexing and content-based image retrieval. An image is divided into small sub-images and the visual appearance of which is characterised by a coloured pattern appearance model. The statistics of the local visual appearance of the image are then computed as measures of the global visual appearance of the image. The visual appearance of the small sub-images is modelled by their spatial pattern, colour direction and local energy strength. To encode the local visual appearance, an approach based on vector quantisation (VQ) is introduced. The distributions of the VQ code indices are then used to index/retrieve the images. The new method can not only be used to achieve effective image indexing and retrieval; it can also be used for image compression. Based on this method, indexing and retrieval can be easily and conveniently performed in the compressed domain without performing decoding operation.",of the local visual appearance of An image,"[0.25, 0.25, 0.25]"
Interactive online undergraduate laboratories using J-DSP,"An interactive Web-based simulation tool called Java-DSP (J-DSP) for use in digital signal processing (DSP)-related electrical engineering courses is described. J-DSP is an object-oriented simulation environment that enables students and distance learners to perform online signal processing simulations, visualize Web-based interactive demos, and perform computer laboratories from remote locations. J-DSP is accompanied by a series of hands-on laboratory exercises that complement classroom and textbook content. The laboratories cover several fundamental concepts, including z transforms, digital filter design, spectral analysis, multirate signal processing, and statistical signal processing. Online assessment instruments for the evaluation of the J-DSP software and the associated laboratory exercises have been developed. Pre/postassessment data have been collected and analyzed for each laboratory in an effort to assess the impact of the tool on student learning.",learners to perform online signal processing,"[0.16666666666666666, 0.14285714285714285, 0.15384615384615383]"
Multipactor Analysis in Dielectric Resonator Waveguide Filters,Manuscript Received 2-September-2012 and revised 5-October-2012 ISSN: 2322-3936 Accepted on 1November-2012 Abstract— Multipactor breakdown analysis is presented in cylindrical dielectric resonator waveguide filter under its dual-mode behavior. The method of effective electron algorithm with combination of Monte-Carlo method is used to perform the simulation and predict multipactor breakdown thresholds. The breakdown thresholds of the proposed structure are presented for different values of frequency-gap product. The results indicate that increasing the radius of filter increases the RF breakdown threshold. The results are compared with the classic parallel plate waveguides.,The breakdown thresholds of the proposed structure,"[0.0, 0.0, 0.0]"
On Fréchet Differentiability of Lipschitzian Functions on Spaces with Gaussian Measures,"We construct two counter-examples related to Fréchet differentiability in infinite dimensions. The first one gives a convex Lipschitzian function on a Banach space such that its convolution with a given measure is Fréchet differentiable only on a measure zero set. The second one gives a Borel function on a space with a Gaussian measure such that it is Lipschitzian along the Cameron–Martin subspace, but is Fréchet differentiable along this subspace only on a measure zero set. This answers a long standing open question. AMS Subject Classification: 28C20, 49J50 The problem of Fréchet differentiability of Lipschitzian functions has attracted a considerable attention in the last decades. One of the major achievements in this area is Preiss’s theorem [1] according to which every Lipschitzian function on a Hilbert space is Fréchet differentiable on a dense set. However, this set may be small in many respects, in particular, it may have measure zero with respect to every nondegenerate Gaussian measure. The consideration of Gaussian measures on infinite dimensional spaces in relation with Fréchet differentiability brings new problems that are specifically infinite dimensional. Every Radon Gaussian measure γ on a space X (which is a Banach space or, more generally, a locally convex space) possesses the so called Cameron–Martin space H (called also the reproducing kernel), which is a separable Hilbert space with some norm | · |H and is compactly embedded into X. If X is infinite dimensional, then H is much smaller than X, although it may be dense in X. For many reasons, it is natural to consider functions on X that are Fréchet differentiable along H. A function f on X is called Fréchet differentiable along H (or Fréchet H-differentiable) at a point x ∈ X if there is a vector DHf(x) ∈ H such that f(x + h)− f(x)− (DHf(x), h)H = o(h), h ∈ H, where lim |h|→0 |h|−1 H |o(h)|H = 0. It turns out that this weaker property is much more flexible and that many natural functions are Fréchet differentiable along H not even being continuous on X. For example, the convolution",every Lipschitzian function on a Hilbert space is Fréchet differentiable on,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666]"
Experimental determination of Representative Volume Element ( RVE ) size in woven composites,"A systematic approach is proposed to estimate the length scales of the representative volume element (RVE) in orthogonal plain woven composites. The approach is based on experimental full-field deformation measurements at mesoscopic scales. Stereovision digital image correlation (DIC) is conducted to determine the full-field strain distribution in onand off-axis specimens loaded axially in tension. A sensitivity analysis is carried out to optimize the image correlation parameters. Using the optimized set of image correlation parameters, full-field strains are measured and used in conjunction with a simple strain averaging algorithm to identify the length scales at which globally applied and spatially-averaged local strains converge in values. The size of a virtual window containing local strain data, the average of which has the same value as the global strain, is identified as the RVE dimensions for the examined material. The smallest RVE sizes found in this work are shown to be both strain and angle dependent. The largest RVE dimension obtained is reported as a unique, strain and orientation insensitive RVE size for the woven composite examined.","as the global strain, is identified as the RVE dimensions for the examined","[0.07692307692307693, 0.09090909090909091, 0.08333333333333334]"
POTSHARDS : Secure Long-Term Archival Storage Without Encryption Technical Report UCSC-SSRC-0603,"Modern archival storage systems either store data in the clear, ignoring security, or rely on keyed encryption to ensure privacy. However, the use of encryption is a major concern when data must be stored an indefinite period of time—key management becomes increasingly difficult as file lifetimes increase, and data loss becomes increasingly likely because keys are a single point of failure and losing a key is comparable to data deletion. Moreover, traditional systems are subject to the obsolescence of encryption algorithms themselves, which can expose petabytes of data the instant a cryptographic algorithm is broken. To address these concerns, we developed POTSHARDS, an archival storage system that addresses the long-term security needs of data with very long lifetimes without the use of encryption. POTSHARDS separates security and redundancy by utilizing two levels of secret splitting in a way that allows the original data to be reconstructed from the stored pieces. However, the data structures used in POTSHARDS are also designed in such a way that an unauthorized user attempting to collect sufficient shares to reconstruct any data will not go unnoticed because it is very difficult to launch a targeted attack on the system, even with unrestricted access to a few archives. Since POTSHARDS provides secure storage for arbitrarily long periods of time, its data structures inclu de built-in support for consistency checking and data migration. An evaluation of our POTSHARDS implementation shows that it stores and retrieves data at 2.5–5MB/s, demonstrates its ability to recover user data given all of the pieces a user has stored across the archives, and shows its ability to recover from the loss of an entire archive.",POTSHARDS implementation's ability to recover user data given all of the,"[0.08333333333333333, 0.07692307692307693, 0.08]"
Welche Therapie gegen die Hypokinesie bei Morbus Wilson?,"Frage: Ich (58 Jahre) hatte vor ca. acht und zehn Jahren jeweils eine mehr als ein Jahr anhaltende Urtikaria factitia; die Ursache konnte nicht ermittelt werden. Danach noch ein paar Wochen Pruritus ohne Urtikaria, im weiteren Verlauf 2–3x/Jahr Juckreiz, ähnlich wie bei der Urtikaria, evtl. auslösbar durch zu viel Ka ee, Tee oder Rotwein. Bei Weglassen nach 2–3 Tagen Abklingen, dann wieder Ruhe. Der Routine-Check im November 2013 ergab folgendes: Basophile 4,4%, sonstiges Blutbild, Sono, neurologische Basisuntersuchung o.B. Ca. eine Woche später bis heute leichter Juckreiz, stark variierend bezüglich der Körperstellen, Dauer und Intensität; keine Regelmäßigkeit und keine Auslöser erkennbar. Flammt mal hier, mal dort, meistens nur für Sekunden auf, zieht dann quasi zur nächsten Körperstelle weiter. Kann sich anfühlen wie die leichte Berührung mit einer Feder oder zum Kratzen reizen. Auf der Haut ist nichts zu sehen, auch sonst keine Beschwerden. Was kann das sein und was würden Sie empfehlen?",Dauer und Intensität; keine Regelmäßigkeit und keine Auslöser,"[0.0, 0.0, 0.0]"
